product_name,sale_price,original_price,discount_percentage,discount_value,image_url,total_colours,absolute_url
Speedcat Ballet Lux Women's Metallic Leather Shoes,,6999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/408197/01/sv01/fnd/IND/fmt/png/Speedcat-Ballet-Lux-Women's-Metallic-Leather-Shoes",,https://in.puma.com/in/en/pd/speedcat-ballet-lux-womens-metallic-leather-shoes/408197?swatch=01
Mayze Leather Women's Sneakers,4799,7999,-40%,3200,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/381983/02/sv01/fnd/IND/fmt/png/Mayze-Leather-Women's-Sneakers",2,https://in.puma.com/in/en/pd/mayze-leather-womens-sneakers/381983?swatch=02
MagMax NITRO™ Women's Maximum Cushioning Running Shoes,,17999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310089/03/sv01/fnd/IND/fmt/png/MagMax-NITRO™-Women's-Maximum-Cushioning-Running-Shoes",4,https://in.puma.com/in/en/pd/magmax-nitro-womens-maximum-cushioning-running-shoes/310089?swatch=03
MagMax NITRO™ Women's Maximum Cushioning Running Shoes,,16999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310089/13/sv01/fnd/IND/fmt/png/MagMax-NITRO™-Women's-Maximum-Cushioning-Running-Shoes",4,https://in.puma.com/in/en/pd/magmax-nitro-womens-maximum-cushioning-running-shoes/310089?swatch=13
Deviate NITRO™ 3 Women's Running Shoes,,15999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/309708/19/sv01/fnd/IND/fmt/png/Deviate-NITRO™-3-Women's-Running-Shoes",4,https://in.puma.com/in/en/pd/deviate-nitro-3-womens-running-shoes/309708?swatch=19
Softride Frequence Street Running Shoes,4199,6999,-40%,2800,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311727/08/sv01/fnd/IND/fmt/png/Softride-Frequence-Street-Running-Shoes",3,https://in.puma.com/in/en/pd/softride-frequence-street-running-shoes/311727?swatch=08
BMW M Motorsport Drift Cat Decima Sneakers,4959,7999,-38%,3040,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/309232/01/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-Decima-Sneakers",2,https://in.puma.com/in/en/pd/bmw-m-motorsport-drift-cat-decima-sneakers/309232?swatch=01
Court Shatter Low Sneakers,3000,5999,-49%,2999,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399844/01/sv01/fnd/IND/fmt/png/Court-Shatter-Low-Sneakers",5,https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=01
Softride Frequence Street Running Shoes,3849,6999,-45%,3150,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311727/01/sv01/fnd/IND/fmt/png/Softride-Frequence-Street-Running-Shoes",3,https://in.puma.com/in/en/pd/softride-frequence-street-running-shoes/311727?swatch=01
Softride Carson Hands-free Sliptech Walking Shoes,3779,5999,-37%,2220,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311724/08/sv01/fnd/IND/fmt/png/Softride-Carson-Hands-free-Sliptech-Walking-Shoes",4,https://in.puma.com/in/en/pd/softride-carson-hands-free-sliptech-walking-shoes/311724?swatch=08
PUMA x Sonic the Hedgehog Inverse Shadow Shoes,9599,11999,-20%,2400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403646/01/sv01/fnd/IND/fmt/png/PUMA-x-Sonic-the-Hedgehog-Inverse-Shadow-Shoes",,https://in.puma.com/in/en/pd/puma-x-sonic-the-hedgehog-inverse-shadow-shoes/403646?swatch=01
