product_name,sale_price,original_price,discount_percentage,discount_value,image_url,total_colours,absolute_url
MB.05 World Tour Lightweight Basketball Shoes,10499,13999,-25%,3500,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312129/01/sv01/fnd/IND/fmt/png/MB.05-World-Tour-Lightweight-Basketball-Shoes",,https://in.puma.com/in/en/pd/mb-05-world-tour-lightweight-basketball-shoes/312129?swatch=01
PUMA x RIPNDIP Inverse Sneakers,9599,11999,-20%,2400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403649/01/sv01/fnd/IND/fmt/png/PUMA-x-RIPNDIP-Inverse-Sneakers",,https://in.puma.com/in/en/pd/puma-x-ripndip-inverse-sneakers/403649?swatch=01
Wave Flip-Flops,1159,1999,-42%,840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/390142/04/sv01/fnd/IND/fmt/png/Wave-Flip-Flops",6,https://in.puma.com/in/en/pd/wave-flip-flops/390142?swatch=04
Popcat 20 Shower Slides,1724,2299,-25%,575,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/391265/02/sv01/fnd/IND/fmt/png/Popcat-20-Shower-Slides",2,https://in.puma.com/in/en/pd/popcat-20-shower-slides/391265?swatch=02
SOFTRIDE Seave Sandals,,2999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/391860/07/sv01/fnd/IND/fmt/png/SOFTRIDE-Seave-Sandals",2,https://in.puma.com/in/en/pd/softride-seave-sandals/391860?swatch=07
Mayze Lux Women's Sneakers,4159,7999,-48%,3840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401261/03/sv01/fnd/IND/fmt/png/Mayze-Lux-Women's-Sneakers",,https://in.puma.com/in/en/pd/mayze-lux-womens-sneakers/401261?swatch=03
Softride Pro 24 V Slides,,3799,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401121/03/sv01/fnd/IND/fmt/png/Softride-Pro-24-V-Slides",2,https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=03
Royalcat Softride Thong-Strap Women's Flip Flops,,2499,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/396472/01/sv01/fnd/IND/fmt/png/Royalcat-Softride-Thong-Strap-Women's-Flip-Flops",2,https://in.puma.com/in/en/pd/royalcat-softride-thong-strap-womens-flip-flops/396472?swatch=01
X-Cell Nova CAT Women's Everyday Running Shoes,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310686/11/sv01/fnd/IND/fmt/png/X-Cell-Nova-CAT-Women's-Everyday-Running-Shoes",2,https://in.puma.com/in/en/pd/x-cell-nova-cat-womens-everyday-running-shoes/310686?swatch=11
Adelina Women's Ballerina Shoes,2599,3999,-35%,1400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395002/07/sv01/fnd/IND/fmt/png/Adelina-Women's-Ballerina-Shoes",4,https://in.puma.com/in/en/pd/adelina-womens-ballerina-shoes/395002?swatch=07
Palermo Classic Comfort Low Boot Sneakers,5249,6999,-25%,1750,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/07/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers",4,https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=07
The Dagger Basketball Shoes,7199,8999,-20%,1800,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311353/11/sv01/fnd/IND/fmt/png/The-Dagger-Basketball-Shoes",5,https://in.puma.com/in/en/pd/the-dagger-basketball-shoes/311353?swatch=11
Speedcat Faded Sneakers,,9999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403688/03/sv01/fnd/IND/fmt/png/Speedcat-Faded-Sneakers",3,https://in.puma.com/in/en/pd/speedcat-faded-sneakers/403688?swatch=03
Speedcat Lux Suede Sneakers,,9999,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/408198/01/sv01/fnd/IND/fmt/png/Speedcat-Lux-Suede-Sneakers",2,https://in.puma.com/in/en/pd/speedcat-lux-suede-sneakers/408198?swatch=01
PUMA x REPRESENT KING Indoor Sneakers,9599,11999,-20%,2400,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403454/01/sv01/fnd/IND/fmt/png/PUMA-x-REPRESENT-KING-Indoor-Sneakers",,https://in.puma.com/in/en/pd/puma-x-represent-king-indoor-sneakers/403454?swatch=01
Softride Premier GlideKnit Walking Shoes,4399,5499,-20%,1100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312706/04/sv01/fnd/IND/fmt/png/Softride-Premier-GlideKnit-Walking-Shoes",3,https://in.puma.com/in/en/pd/softride-premier-glideknit-walking-shoes/312706?swatch=04
Conduct Pro Women’s Running Shoes,7649,8499,-10%,850,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312087/05/sv01/fnd/IND/fmt/png/Conduct-Pro-Women’s-Running-Shoes",2,https://in.puma.com/in/en/pd/conduct-pro-womens-running-shoes/312087?swatch=05
Galaxy Comfort V4 Flip-Flops,,2299,0%,0,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/388831/04/sv01/fnd/IND/fmt/png/Galaxy-Comfort-V4-Flip-Flops",2,https://in.puma.com/in/en/pd/galaxy-comfort-v4-flip-flops/388831?swatch=04
